step,loss,acc_same,acc_deeper
200,0.050328,1.000000,0.006000
400,0.015401,1.000000,0.006000
600,0.574539,0.351000,0.031000
800,0.405337,0.407000,0.040000
1000,0.293210,0.474000,0.045000
1200,0.225440,0.512000,0.051000
1400,0.189706,0.548000,0.063000
1600,0.129257,0.579000,0.053000
1800,0.157429,0.566000,0.060000
2000,0.118008,0.606000,0.071000
2200,0.135662,0.630000,0.062000
2400,0.097275,0.645000,0.058000
2600,0.089417,0.708000,0.066000
2800,0.087745,0.720000,0.068000
3000,0.107108,0.709000,0.064000
3200,0.069905,0.731000,0.065000
3400,0.087722,0.744000,0.063000
3600,0.081681,0.745000,0.070000
3800,0.081215,0.751000,0.063000
4000,0.049542,0.756000,0.062000
4200,0.089436,0.760000,0.065000
4400,0.048380,0.770000,0.080000
4600,0.067566,0.772000,0.067000
4800,0.033655,0.792000,0.065000
5000,0.047644,0.795000,0.072000
5200,0.068084,0.793000,0.067000
5400,0.064025,0.815000,0.063000
5600,0.038429,0.810000,0.066000
5800,0.040924,0.811000,0.068000
6000,0.041799,0.817000,0.067000
6200,0.573361,0.258000,0.102000
6400,0.467809,0.274000,0.130000
6600,0.395245,0.294000,0.154000
6800,0.288026,0.307000,0.164000
7000,0.344682,0.314000,0.186000
7200,0.337279,0.332000,0.193000
7400,0.271066,0.331000,0.191000
7600,0.260334,0.340000,0.204000
7800,0.259206,0.348000,0.216000
8000,0.241072,0.349000,0.215000
8200,0.226982,0.350000,0.224000
